# 0 m/s Windspeed - 84° Launch Angle (Up to date)
# 1055 data points written for 11 variables.
# Simulation warnings:
#   Despliegue del sistema de recuperación con velocidad alta (23.2 m/s):  "SRAD Drogue Ringsail Parachute + Deployment Bag"
#   Despliegue del sistema de recuperación con velocidad alta (22.5 m/s):  "SRAD Main Ringsail Parachute + Deployment Bag"
#
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Velocidad total (m/s),Aceleración vertical (m/s²),Aceleración total (m/s²),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
85.787,1858.182,-24.126,24.126,0.03,0.03,0.007,1.864e-5,NaN,NaN,NaN
86.287,1846.123,-24.111,24.111,0.03,0.03,0.007,1.858e-5,NaN,NaN,NaN
86.787,1834.072,-24.096,24.096,0.03,0.03,0.007,1.851e-5,NaN,NaN,NaN
87.287,1822.027,-24.081,24.081,0.03,0.03,0.007,1.844e-5,NaN,NaN,NaN
87.787,1809.99,-24.066,24.066,0.03,0.03,0.007,1.838e-5,NaN,NaN,NaN
88.287,1797.961,-24.052,24.052,0.029,0.029,0.007,1.831e-5,NaN,NaN,NaN
88.787,1785.939,-24.037,24.037,0.029,0.029,0.007,1.824e-5,NaN,NaN,NaN
89.287,1773.924,-24.022,24.022,0.029,0.029,0.007,1.818e-5,NaN,NaN,NaN
89.787,1761.917,-24.008,24.008,0.029,0.029,0.007,1.811e-5,NaN,NaN,NaN
90.287,1749.917,-23.993,23.993,0.029,0.029,0.007,1.804e-5,NaN,NaN,NaN
90.787,1737.924,-23.978,23.978,0.029,0.029,0.007,1.798e-5,NaN,NaN,NaN
91.287,1725.938,-23.964,23.964,0.029,0.029,0.007,1.791e-5,NaN,NaN,NaN
91.787,1713.96,-23.949,23.949,0.029,0.029,0.007,1.785e-5,NaN,NaN,NaN
92.287,1701.989,-23.935,23.935,0.029,0.029,0.007,1.778e-5,NaN,NaN,NaN
92.787,1690.025,-23.921,23.921,0.029,0.029,0.007,1.772e-5,NaN,NaN,NaN
93.287,1678.068,-23.906,23.906,0.029,0.029,0.007,1.766e-5,NaN,NaN,NaN
93.787,1666.118,-23.892,23.892,0.028,0.028,0.007,1.759e-5,NaN,NaN,NaN
94.287,1654.176,-23.878,23.878,0.028,0.028,0.007,1.753e-5,NaN,NaN,NaN
94.787,1642.24,-23.864,23.864,0.028,0.028,0.007,1.747e-5,NaN,NaN,NaN
95.287,1630.312,-23.85,23.85,0.028,0.028,0.007,1.74e-5,NaN,NaN,NaN
95.787,1618.391,-23.835,23.835,0.028,0.028,0.007,1.734e-5,NaN,NaN,NaN
96.287,1606.476,-23.821,23.821,0.028,0.028,0.007,1.729e-5,NaN,NaN,NaN
96.787,1594.569,-23.807,23.807,0.029,0.029,0.007,1.746e-5,NaN,NaN,NaN
97.287,1582.669,-23.793,23.793,0.029,0.029,0.007,1.757e-5,NaN,NaN,NaN
97.787,1570.776,-23.778,23.778,0.029,0.029,0.007,1.765e-5,NaN,NaN,NaN
98.287,1558.891,-23.764,23.764,0.029,0.029,0.007,1.77e-5,NaN,NaN,NaN
98.787,1547.012,-23.749,23.749,0.029,0.029,0.007,1.772e-5,NaN,NaN,NaN
99.287,1535.141,-23.735,23.735,0.029,0.029,0.007,1.773e-5,NaN,NaN,NaN
99.787,1523.278,-23.72,23.72,0.029,0.029,0.007,1.772e-5,NaN,NaN,NaN
100.287,1511.422,-23.705,23.705,0.029,0.029,0.007,1.77e-5,NaN,NaN,NaN
100.787,1499.572,-23.691,23.691,0.029,0.029,0.007,1.767e-5,NaN,NaN,NaN
101.287,1487.731,-23.676,23.676,0.029,0.029,0.007,1.764e-5,NaN,NaN,NaN
101.787,1475.896,-23.662,23.662,0.029,0.029,0.007,1.76e-5,NaN,NaN,NaN
102.287,1464.069,-23.647,23.647,0.029,0.029,0.007,1.755e-5,NaN,NaN,NaN
102.787,1452.249,-23.633,23.633,0.029,0.029,0.007,1.75e-5,NaN,NaN,NaN
103.287,1440.436,-23.619,23.619,0.029,0.029,0.007,1.745e-5,NaN,NaN,NaN
103.787,1428.63,-23.604,23.604,0.029,0.029,0.007,1.739e-5,NaN,NaN,NaN
104.287,1416.832,-23.59,23.59,0.028,0.028,0.007,1.734e-5,NaN,NaN,NaN
104.787,1405.04,-23.576,23.576,0.028,0.028,0.007,1.728e-5,NaN,NaN,NaN
105.287,1393.256,-23.562,23.562,0.028,0.028,0.007,1.722e-5,NaN,NaN,NaN
105.787,1381.479,-23.547,23.547,0.028,0.028,0.007,1.717e-5,NaN,NaN,NaN
106.287,1369.708,-23.533,23.533,0.028,0.028,0.007,1.711e-5,NaN,NaN,NaN
106.787,1357.945,-23.519,23.519,0.028,0.028,0.007,1.705e-5,NaN,NaN,NaN
107.287,1346.189,-23.505,23.505,0.028,0.028,0.007,1.699e-5,NaN,NaN,NaN
107.787,1334.44,-23.491,23.491,0.028,0.028,0.007,1.693e-5,NaN,NaN,NaN
108.287,1322.698,-23.477,23.477,0.028,0.028,0.007,1.687e-5,NaN,NaN,NaN
108.787,1310.963,-23.463,23.463,0.028,0.028,0.007,1.681e-5,NaN,NaN,NaN
109.287,1299.234,-23.45,23.45,0.028,0.028,0.007,1.675e-5,NaN,NaN,NaN
109.787,1287.513,-23.436,23.436,0.028,0.028,0.007,1.669e-5,NaN,NaN,NaN
110.287,1275.799,-23.422,23.422,0.027,0.027,0.007,1.663e-5,NaN,NaN,NaN
110.787,1264.091,-23.408,23.408,0.027,0.027,0.007,1.658e-5,NaN,NaN,NaN
111.287,1252.39,-23.395,23.395,0.027,0.027,0.007,1.652e-5,NaN,NaN,NaN
111.787,1240.696,-23.381,23.381,0.027,0.027,0.007,1.646e-5,NaN,NaN,NaN
112.287,1229.009,-23.367,23.367,0.027,0.027,0.007,1.64e-5,NaN,NaN,NaN
112.787,1217.329,-23.354,23.354,0.027,0.027,0.007,1.635e-5,NaN,NaN,NaN
113.287,1205.655,-23.34,23.34,0.027,0.027,0.007,1.629e-5,NaN,NaN,NaN
113.787,1193.989,-23.327,23.327,0.027,0.027,0.007,1.623e-5,NaN,NaN,NaN
114.287,1182.329,-23.313,23.313,0.027,0.027,0.007,1.618e-5,NaN,NaN,NaN
114.787,1170.675,-23.3,23.3,0.027,0.027,0.007,1.612e-5,NaN,NaN,NaN
115.287,1159.029,-23.286,23.286,0.027,0.027,0.007,1.606e-5,NaN,NaN,NaN
115.787,1147.389,-23.273,23.273,0.027,0.027,0.007,1.601e-5,NaN,NaN,NaN
116.287,1135.756,-23.26,23.26,0.027,0.027,0.007,1.595e-5,NaN,NaN,NaN
116.787,1124.129,-23.247,23.247,0.026,0.026,0.007,1.59e-5,NaN,NaN,NaN
117.287,1112.509,-23.233,23.233,0.026,0.026,0.007,1.585e-5,NaN,NaN,NaN
117.787,1100.896,-23.22,23.22,0.027,0.027,0.007,1.59e-5,NaN,NaN,NaN
118.287,1089.289,-23.207,23.207,0.027,0.027,0.007,1.603e-5,NaN,NaN,NaN
118.787,1077.689,-23.193,23.193,0.027,0.027,0.007,1.613e-5,NaN,NaN,NaN
119.287,1066.096,-23.18,23.18,0.028,0.028,0.007,1.619e-5,NaN,NaN,NaN
119.787,1054.51,-23.166,23.166,0.028,0.028,0.007,1.622e-5,NaN,NaN,NaN
120.287,1042.93,-23.152,23.152,0.028,0.028,0.007,1.624e-5,NaN,NaN,NaN
120.787,1031.357,-23.138,23.138,0.027,0.027,0.007,1.624e-5,NaN,NaN,NaN
121.287,1019.792,-23.125,23.125,0.027,0.027,0.007,1.623e-5,NaN,NaN,NaN
121.787,1008.233,-23.111,23.111,0.027,0.027,0.007,1.621e-5,NaN,NaN,NaN
122.287,996.681,-23.097,23.097,0.027,0.027,0.007,1.618e-5,NaN,NaN,NaN
122.787,985.136,-23.084,23.084,0.027,0.027,0.007,1.614e-5,NaN,NaN,NaN
123.287,973.597,-23.07,23.07,0.027,0.027,0.007,1.61e-5,NaN,NaN,NaN
123.787,962.066,-23.056,23.056,0.027,0.027,0.007,1.606e-5,NaN,NaN,NaN
124.287,950.541,-23.043,23.043,0.027,0.027,0.007,1.602e-5,NaN,NaN,NaN
124.787,939.023,-23.029,23.029,0.027,0.027,0.007,1.597e-5,NaN,NaN,NaN
125.287,927.512,-23.016,23.016,0.027,0.027,0.007,1.592e-5,NaN,NaN,NaN
125.787,916.007,-23.003,23.003,0.027,0.027,0.007,1.587e-5,NaN,NaN,NaN
126.287,904.509,-22.989,22.989,0.027,0.027,0.007,1.582e-5,NaN,NaN,NaN
126.787,893.018,-22.976,22.976,0.027,0.027,0.007,1.577e-5,NaN,NaN,NaN
127.287,881.533,-22.963,22.963,0.026,0.026,0.007,1.572e-5,NaN,NaN,NaN
127.787,870.055,-22.949,22.949,0.026,0.026,0.007,1.566e-5,NaN,NaN,NaN
128.287,858.584,-22.936,22.936,0.026,0.026,0.007,1.561e-5,NaN,NaN,NaN
128.787,847.119,-22.923,22.923,0.026,0.026,0.007,1.556e-5,NaN,NaN,NaN
129.287,835.661,-22.91,22.91,0.026,0.026,0.007,1.551e-5,NaN,NaN,NaN
129.787,824.209,-22.897,22.897,0.026,0.026,0.007,1.545e-5,NaN,NaN,NaN
130.287,812.764,-22.884,22.884,0.026,0.026,0.007,1.54e-5,NaN,NaN,NaN
130.787,801.325,-22.871,22.871,0.026,0.026,0.007,1.535e-5,NaN,NaN,NaN
131.287,789.893,-22.858,22.858,0.026,0.026,0.007,1.53e-5,NaN,NaN,NaN
131.787,778.468,-22.845,22.845,0.026,0.026,0.007,1.525e-5,NaN,NaN,NaN
132.287,767.049,-22.832,22.832,0.026,0.026,0.007,1.519e-5,NaN,NaN,NaN
132.787,755.636,-22.819,22.819,0.026,0.026,0.007,1.514e-5,NaN,NaN,NaN
133.287,744.23,-22.806,22.806,0.026,0.026,0.007,1.509e-5,NaN,NaN,NaN
133.787,732.83,-22.793,22.793,0.026,0.026,0.007,1.504e-5,NaN,NaN,NaN
134.287,721.436,-22.781,22.781,0.025,0.025,0.007,1.499e-5,NaN,NaN,NaN
134.787,710.049,-22.768,22.768,0.025,0.025,0.007,1.494e-5,NaN,NaN,NaN
135.287,698.669,-22.755,22.755,0.025,0.025,0.007,1.489e-5,NaN,NaN,NaN
135.787,687.294,-22.742,22.742,0.025,0.025,0.007,1.484e-5,NaN,NaN,NaN
136.287,675.926,-22.73,22.73,0.025,0.025,0.007,1.479e-5,NaN,NaN,NaN
136.787,664.564,-22.717,22.717,0.025,0.025,0.007,1.474e-5,NaN,NaN,NaN
137.287,653.209,-22.705,22.705,0.025,0.025,0.007,1.469e-5,NaN,NaN,NaN
137.787,641.86,-22.692,22.692,0.025,0.025,0.007,1.464e-5,NaN,NaN,NaN
138.287,630.517,-22.68,22.68,0.025,0.025,0.007,1.459e-5,NaN,NaN,NaN
138.787,619.18,-22.667,22.667,0.025,0.025,0.007,1.455e-5,NaN,NaN,NaN
139.287,607.85,-22.655,22.655,0.025,0.025,0.007,1.45e-5,NaN,NaN,NaN
139.787,596.525,-22.642,22.642,0.025,0.025,0.007,1.463e-5,NaN,NaN,NaN
140.287,585.207,-22.63,22.63,0.026,0.026,0.007,1.474e-5,NaN,NaN,NaN
140.787,573.896,-22.617,22.617,0.026,0.026,0.007,1.481e-5,NaN,NaN,NaN
141.287,562.59,-22.604,22.604,0.026,0.026,0.007,1.486e-5,NaN,NaN,NaN
141.787,551.292,-22.591,22.591,0.026,0.026,0.007,1.489e-5,NaN,NaN,NaN
142.287,539.999,-22.578,22.578,0.026,0.026,0.007,1.489e-5,NaN,NaN,NaN
142.787,528.714,-22.565,22.565,0.026,0.026,0.007,1.489e-5,NaN,NaN,NaN
143.287,517.434,-22.552,22.552,0.026,0.026,0.007,1.488e-5,NaN,NaN,NaN
143.787,506.161,-22.539,22.539,0.026,0.026,0.007,1.485e-5,NaN,NaN,NaN
144.287,494.895,-22.527,22.527,0.026,0.026,0.006,1.483e-5,NaN,NaN,NaN
144.787,483.635,-22.514,22.514,0.026,0.026,0.006,1.479e-5,NaN,NaN,NaN
145.287,472.381,-22.501,22.501,0.025,0.025,0.006,1.476e-5,NaN,NaN,NaN
145.787,461.134,-22.488,22.488,0.025,0.025,0.006,1.472e-5,NaN,NaN,NaN
146.287,449.893,-22.476,22.476,0.025,0.025,0.006,1.468e-5,NaN,NaN,NaN
# Event SIM_WARN occurred at t=146.288 seconds: Despliegue del sistema de recuperación con velocidad alta (22.5 m/s):  "SRAD Main Ringsail Parachute + Deployment Bag"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=146.288 seconds
146.288,449.87,-22.476,22.476,106.569,106.569,0.006,0.031,NaN,NaN,NaN
146.297,449.664,-21.476,21.476,96.447,96.447,0.006,0.028,NaN,NaN,NaN
146.308,449.447,-20.476,20.476,86.786,86.786,0.006,0.025,NaN,NaN,NaN
146.319,449.216,-19.476,19.476,77.585,77.585,0.006,0.023,NaN,NaN,NaN
146.332,448.972,-18.476,18.476,68.844,68.844,0.005,0.02,NaN,NaN,NaN
146.347,448.711,-17.476,17.476,60.564,60.564,0.005,0.018,NaN,NaN,NaN
146.363,448.431,-16.476,16.476,52.745,52.745,0.005,0.016,NaN,NaN,NaN
146.382,448.128,-15.476,15.476,45.385,45.385,0.004,0.014,NaN,NaN,NaN
146.404,447.798,-14.476,14.476,38.487,38.487,0.004,0.012,NaN,NaN,NaN
146.43,447.435,-13.476,13.476,32.049,32.049,0.004,0.01,NaN,NaN,NaN
146.461,447.03,-12.476,12.476,26.071,26.071,0.003,0.008,NaN,NaN,NaN
146.5,446.57,-11.476,11.476,20.554,20.554,0.003,0.007,NaN,NaN,NaN
146.548,446.036,-10.476,10.476,15.497,15.497,0.003,0.006,NaN,NaN,NaN
146.613,445.393,-9.476,9.476,10.901,10.901,0.002,0.004,NaN,NaN,NaN
146.704,444.569,-8.476,8.476,6.766,6.766,0.002,0.003,NaN,NaN,NaN
146.852,443.39,-7.476,7.476,3.091,3.091,0.002,0.002,NaN,NaN,NaN
147.142,441.351,-6.579,6.579,0.187,0.187,0.001,8.309e-4,NaN,NaN,NaN
147.472,439.193,-6.517,6.517,0.003,0.003,8.159e-4,4.118e-4,NaN,NaN,NaN
147.805,437.025,-6.516,6.516,0.002,0.002,6.789e-4,2.061e-4,NaN,NaN,NaN
148.138,434.857,-6.515,6.515,0.002,0.002,6.103e-4,1.032e-4,NaN,NaN,NaN
148.47,432.689,-6.514,6.514,0.002,0.002,5.76e-4,5.18e-5,NaN,NaN,NaN
148.803,430.523,-6.514,6.514,0.002,0.002,5.587e-4,2.608e-5,NaN,NaN,NaN
149.135,428.356,-6.513,6.513,0.002,0.002,5.501e-4,1.322e-5,NaN,NaN,NaN
149.468,426.19,-6.512,6.512,0.002,0.002,5.457e-4,6.785e-6,NaN,NaN,NaN
149.801,424.025,-6.512,6.512,0.002,0.002,5.434e-4,3.568e-6,NaN,NaN,NaN
150.133,421.86,-6.511,6.511,0.002,0.002,5.422e-4,1.96e-6,NaN,NaN,NaN
150.466,419.696,-6.51,6.51,0.002,0.002,5.416e-4,1.156e-6,NaN,NaN,NaN
150.798,417.532,-6.51,6.51,0.002,0.002,5.412e-4,7.533e-7,NaN,NaN,NaN
151.13,415.368,-6.509,6.509,0.002,0.002,5.409e-4,5.52e-7,NaN,NaN,NaN
151.463,413.205,-6.508,6.508,0.002,0.002,5.407e-4,4.512e-7,NaN,NaN,NaN
151.795,411.042,-6.507,6.507,0.002,0.002,5.406e-4,4.007e-7,NaN,NaN,NaN
152.127,408.88,-6.507,6.507,0.002,0.002,5.405e-4,3.753e-7,NaN,NaN,NaN
152.46,406.719,-6.506,6.506,0.002,0.002,5.403e-4,3.625e-7,NaN,NaN,NaN
152.792,404.557,-6.505,6.505,0.002,0.002,5.402e-4,3.56e-7,NaN,NaN,NaN
153.124,402.397,-6.505,6.505,0.002,0.002,5.401e-4,3.526e-7,NaN,NaN,NaN
153.456,400.236,-6.504,6.504,0.002,0.002,5.4e-4,3.508e-7,NaN,NaN,NaN
153.788,398.077,-6.503,6.503,0.002,0.002,5.399e-4,3.498e-7,NaN,NaN,NaN
154.12,395.917,-6.503,6.503,0.002,0.002,5.398e-4,3.492e-7,NaN,NaN,NaN
154.452,393.758,-6.502,6.502,0.002,0.002,5.396e-4,3.488e-7,NaN,NaN,NaN
154.784,391.6,-6.501,6.501,0.002,0.002,5.395e-4,3.485e-7,NaN,NaN,NaN
155.116,389.442,-6.5,6.5,0.002,0.002,5.394e-4,3.482e-7,NaN,NaN,NaN
155.448,387.284,-6.5,6.5,0.002,0.002,5.393e-4,3.48e-7,NaN,NaN,NaN
155.78,385.127,-6.499,6.499,0.002,0.002,5.392e-4,3.477e-7,NaN,NaN,NaN
156.112,382.971,-6.498,6.498,0.002,0.002,5.391e-4,3.475e-7,NaN,NaN,NaN
156.444,380.815,-6.498,6.498,0.002,0.002,5.389e-4,3.473e-7,NaN,NaN,NaN
156.775,378.659,-6.497,6.497,0.002,0.002,5.388e-4,3.471e-7,NaN,NaN,NaN
157.107,376.504,-6.496,6.496,0.002,0.002,5.387e-4,3.468e-7,NaN,NaN,NaN
157.439,374.349,-6.496,6.496,0.002,0.002,5.386e-4,3.466e-7,NaN,NaN,NaN
157.77,372.195,-6.495,6.495,0.002,0.002,5.385e-4,3.464e-7,NaN,NaN,NaN
158.102,370.041,-6.494,6.494,0.002,0.002,5.384e-4,3.462e-7,NaN,NaN,NaN
158.434,367.888,-6.494,6.494,0.002,0.002,5.383e-4,3.46e-7,NaN,NaN,NaN
158.765,365.735,-6.493,6.493,0.002,0.002,5.381e-4,3.457e-7,NaN,NaN,NaN
159.097,363.582,-6.492,6.492,0.002,0.002,5.38e-4,3.455e-7,NaN,NaN,NaN
159.428,361.43,-6.491,6.491,0.002,0.002,5.379e-4,3.453e-7,NaN,NaN,NaN
159.76,359.279,-6.491,6.491,0.002,0.002,5.378e-4,3.451e-7,NaN,NaN,NaN
160.091,357.128,-6.49,6.49,0.002,0.002,5.377e-4,3.449e-7,NaN,NaN,NaN
160.423,354.977,-6.489,6.489,0.002,0.002,5.376e-4,3.446e-7,NaN,NaN,NaN
160.754,352.827,-6.489,6.489,0.002,0.002,5.375e-4,3.444e-7,NaN,NaN,NaN
161.085,350.677,-6.488,6.488,0.002,0.002,5.373e-4,3.442e-7,NaN,NaN,NaN
161.417,348.528,-6.487,6.487,0.002,0.002,5.372e-4,3.44e-7,NaN,NaN,NaN
161.748,346.379,-6.487,6.487,0.002,0.002,5.371e-4,3.438e-7,NaN,NaN,NaN
162.079,344.231,-6.486,6.486,0.002,0.002,5.37e-4,3.436e-7,NaN,NaN,NaN
162.41,342.083,-6.485,6.485,0.002,0.002,5.369e-4,3.433e-7,NaN,NaN,NaN
162.741,339.935,-6.485,6.485,0.002,0.002,5.368e-4,3.431e-7,NaN,NaN,NaN
163.072,337.788,-6.484,6.484,0.002,0.002,5.367e-4,3.429e-7,NaN,NaN,NaN
163.403,335.642,-6.483,6.483,0.002,0.002,5.365e-4,3.427e-7,NaN,NaN,NaN
163.735,333.496,-6.483,6.483,0.002,0.002,5.364e-4,3.425e-7,NaN,NaN,NaN
164.066,331.35,-6.482,6.482,0.002,0.002,5.363e-4,3.423e-7,NaN,NaN,NaN
164.396,329.205,-6.481,6.481,0.002,0.002,5.362e-4,3.421e-7,NaN,NaN,NaN
164.727,327.06,-6.481,6.481,0.002,0.002,5.361e-4,3.418e-7,NaN,NaN,NaN
165.058,324.916,-6.48,6.48,0.002,0.002,5.36e-4,3.416e-7,NaN,NaN,NaN
165.389,322.772,-6.479,6.479,0.002,0.002,5.359e-4,3.414e-7,NaN,NaN,NaN
165.72,320.629,-6.478,6.478,0.002,0.002,5.357e-4,3.412e-7,NaN,NaN,NaN
166.051,318.486,-6.478,6.478,0.002,0.002,5.356e-4,3.41e-7,NaN,NaN,NaN
166.382,316.344,-6.477,6.477,0.002,0.002,5.355e-4,3.408e-7,NaN,NaN,NaN
166.712,314.202,-6.476,6.476,0.002,0.002,5.354e-4,3.406e-7,NaN,NaN,NaN
167.043,312.06,-6.476,6.476,0.002,0.002,5.353e-4,3.403e-7,NaN,NaN,NaN
167.374,309.919,-6.475,6.475,0.002,0.002,5.352e-4,3.401e-7,NaN,NaN,NaN
167.704,307.778,-6.474,6.474,0.002,0.002,5.351e-4,3.399e-7,NaN,NaN,NaN
168.035,305.638,-6.474,6.474,0.002,0.002,5.35e-4,3.397e-7,NaN,NaN,NaN
168.365,303.498,-6.473,6.473,0.002,0.002,5.348e-4,3.395e-7,NaN,NaN,NaN
168.696,301.359,-6.472,6.472,0.002,0.002,5.347e-4,3.393e-7,NaN,NaN,NaN
169.026,299.22,-6.472,6.472,0.002,0.002,5.346e-4,3.391e-7,NaN,NaN,NaN
169.357,297.082,-6.471,6.471,0.002,0.002,5.345e-4,3.389e-7,NaN,NaN,NaN
169.687,294.944,-6.47,6.47,0.002,0.002,5.344e-4,3.387e-7,NaN,NaN,NaN
170.018,292.806,-6.47,6.47,0.002,0.002,5.343e-4,3.384e-7,NaN,NaN,NaN
170.348,290.669,-6.469,6.469,0.002,0.002,5.342e-4,3.382e-7,NaN,NaN,NaN
170.678,288.533,-6.468,6.468,0.002,0.002,5.341e-4,3.38e-7,NaN,NaN,NaN
171.008,286.396,-6.468,6.468,0.002,0.002,5.34e-4,3.378e-7,NaN,NaN,NaN
171.339,284.261,-6.467,6.467,0.002,0.002,5.338e-4,3.376e-7,NaN,NaN,NaN
171.669,282.125,-6.466,6.466,0.002,0.002,5.337e-4,3.374e-7,NaN,NaN,NaN
171.999,279.991,-6.466,6.466,0.002,0.002,5.336e-4,3.372e-7,NaN,NaN,NaN
172.329,277.856,-6.465,6.465,0.002,0.002,5.335e-4,3.37e-7,NaN,NaN,NaN
172.659,275.722,-6.464,6.464,0.002,0.002,5.334e-4,3.368e-7,NaN,NaN,NaN
172.989,273.589,-6.464,6.464,0.002,0.002,5.333e-4,3.366e-7,NaN,NaN,NaN
173.319,271.456,-6.463,6.463,0.002,0.002,5.332e-4,3.363e-7,NaN,NaN,NaN
173.649,269.323,-6.462,6.462,0.002,0.002,5.331e-4,3.361e-7,NaN,NaN,NaN
173.979,267.191,-6.462,6.462,0.002,0.002,5.33e-4,3.359e-7,NaN,NaN,NaN
174.309,265.059,-6.461,6.461,0.002,0.002,5.328e-4,3.357e-7,NaN,NaN,NaN
174.639,262.928,-6.46,6.46,0.002,0.002,5.327e-4,3.355e-7,NaN,NaN,NaN
174.969,260.797,-6.46,6.46,0.002,0.002,5.326e-4,3.353e-7,NaN,NaN,NaN
175.299,258.667,-6.459,6.459,0.002,0.002,5.325e-4,3.351e-7,NaN,NaN,NaN
175.629,256.537,-6.458,6.458,0.002,0.002,5.324e-4,3.349e-7,NaN,NaN,NaN
175.958,254.407,-6.458,6.458,0.002,0.002,5.323e-4,3.347e-7,NaN,NaN,NaN
176.288,252.278,-6.457,6.457,0.002,0.002,5.322e-4,3.345e-7,NaN,NaN,NaN
176.618,250.149,-6.456,6.456,0.002,0.002,5.321e-4,3.343e-7,NaN,NaN,NaN
176.947,248.021,-6.456,6.456,0.002,0.002,5.32e-4,3.341e-7,NaN,NaN,NaN
177.277,245.894,-6.455,6.455,0.002,0.002,5.318e-4,3.339e-7,NaN,NaN,NaN
177.607,243.766,-6.454,6.454,0.002,0.002,5.317e-4,3.337e-7,NaN,NaN,NaN
177.936,241.639,-6.454,6.454,0.002,0.002,5.316e-4,3.335e-7,NaN,NaN,NaN
178.266,239.513,-6.453,6.453,0.002,0.002,5.315e-4,3.332e-7,NaN,NaN,NaN
178.595,237.387,-6.452,6.452,0.002,0.002,5.314e-4,3.33e-7,NaN,NaN,NaN
178.925,235.261,-6.452,6.452,0.002,0.002,5.313e-4,3.328e-7,NaN,NaN,NaN
179.254,233.136,-6.451,6.451,0.002,0.002,5.312e-4,3.326e-7,NaN,NaN,NaN
179.583,231.012,-6.45,6.45,0.002,0.002,5.311e-4,3.324e-7,NaN,NaN,NaN
179.913,228.887,-6.45,6.45,0.002,0.002,5.31e-4,3.322e-7,NaN,NaN,NaN
180.242,226.764,-6.449,6.449,0.002,0.002,5.309e-4,3.32e-7,NaN,NaN,NaN
180.571,224.64,-6.448,6.448,0.002,0.002,5.307e-4,3.318e-7,NaN,NaN,NaN
180.901,222.517,-6.448,6.448,0.002,0.002,5.306e-4,3.316e-7,NaN,NaN,NaN
181.23,220.395,-6.447,6.447,0.002,0.002,5.305e-4,3.314e-7,NaN,NaN,NaN
181.559,218.273,-6.446,6.446,0.002,0.002,5.304e-4,3.312e-7,NaN,NaN,NaN
181.888,216.151,-6.446,6.446,0.002,0.002,5.303e-4,3.31e-7,NaN,NaN,NaN
182.217,214.03,-6.445,6.445,0.002,0.002,5.302e-4,3.308e-7,NaN,NaN,NaN
182.546,211.909,-6.444,6.444,0.002,0.002,5.301e-4,3.306e-7,NaN,NaN,NaN
182.875,209.789,-6.444,6.444,0.002,0.002,5.3e-4,3.304e-7,NaN,NaN,NaN
183.204,207.669,-6.443,6.443,0.002,0.002,5.299e-4,3.302e-7,NaN,NaN,NaN
183.533,205.549,-6.442,6.442,0.002,0.002,5.298e-4,3.3e-7,NaN,NaN,NaN
183.862,203.43,-6.442,6.442,0.002,0.002,5.297e-4,3.298e-7,NaN,NaN,NaN
184.191,201.312,-6.441,6.441,0.002,0.002,5.296e-4,3.296e-7,NaN,NaN,NaN
184.52,199.194,-6.44,6.44,0.002,0.002,5.294e-4,3.294e-7,NaN,NaN,NaN
184.849,197.076,-6.44,6.44,0.002,0.002,5.293e-4,3.292e-7,NaN,NaN,NaN
185.178,194.959,-6.439,6.439,0.002,0.002,5.292e-4,3.29e-7,NaN,NaN,NaN
185.506,192.842,-6.438,6.438,0.002,0.002,5.291e-4,3.288e-7,NaN,NaN,NaN
185.835,190.725,-6.438,6.438,0.002,0.002,5.29e-4,3.286e-7,NaN,NaN,NaN
186.164,188.609,-6.437,6.437,0.002,0.002,5.289e-4,3.284e-7,NaN,NaN,NaN
186.492,186.494,-6.436,6.436,0.002,0.002,5.288e-4,3.282e-7,NaN,NaN,NaN
186.821,184.379,-6.436,6.436,0.002,0.002,5.287e-4,3.28e-7,NaN,NaN,NaN
187.15,182.264,-6.435,6.435,0.002,0.002,5.286e-4,3.278e-7,NaN,NaN,NaN
187.478,180.15,-6.434,6.434,0.002,0.002,5.285e-4,3.276e-7,NaN,NaN,NaN
187.807,178.036,-6.434,6.434,0.002,0.002,5.284e-4,3.274e-7,NaN,NaN,NaN
188.135,175.923,-6.433,6.433,0.002,0.002,5.283e-4,3.272e-7,NaN,NaN,NaN
188.464,173.81,-6.433,6.433,0.002,0.002,5.281e-4,3.27e-7,NaN,NaN,NaN
188.792,171.697,-6.432,6.432,0.002,0.002,5.28e-4,3.268e-7,NaN,NaN,NaN
189.121,169.585,-6.431,6.431,0.002,0.002,5.279e-4,3.266e-7,NaN,NaN,NaN
189.449,167.473,-6.431,6.431,0.002,0.002,5.278e-4,3.264e-7,NaN,NaN,NaN
189.777,165.362,-6.43,6.43,0.002,0.002,5.277e-4,3.262e-7,NaN,NaN,NaN
190.106,163.251,-6.429,6.429,0.002,0.002,5.276e-4,3.26e-7,NaN,NaN,NaN
190.434,161.141,-6.429,6.429,0.002,0.002,5.275e-4,3.258e-7,NaN,NaN,NaN
190.762,159.031,-6.428,6.428,0.002,0.002,5.274e-4,3.256e-7,NaN,NaN,NaN
191.09,156.921,-6.427,6.427,0.002,0.002,5.273e-4,3.254e-7,NaN,NaN,NaN
